Feedstock_Type,Initial_Mass_kg,Initial_Moisture_Pct,Initial_Motor_Load_A,Target_Batch_Time_Min,Target_Final_Mass_kg,Projected_NPK_Profile
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),1.66,70.96,2.5,144.5,0.72,Organic Soil Conditioner (High Carbon)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",4.78,75.62,1.84,261.5,1.7,High Phosphorus & Nitrogen (P-N Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",4.4,86.9,1.49,271.4,0.86,High Nitrogen & Fiber (N-Rich)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),3.68,73.64,2.35,217.8,1.42,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.85,72.69,1.66,187.3,1.15,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.65,78.01,1.84,187.0,0.87,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.6,81.17,1.88,228.3,1.0,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.18,73.43,2.1,200.0,1.24,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.25,74.93,1.97,132.8,0.48,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.05,78.98,2.23,203.5,0.95,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",4.23,73.71,2.34,237.4,1.62,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.84,78.8,2.26,195.2,0.89,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.21,74.96,1.6,131.3,0.47,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.15,74.72,1.75,236.5,1.53,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.81,78.62,2.04,156.0,0.59,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",2.03,71.53,1.81,157.7,0.86,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.66,79.29,1.83,151.0,0.52,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),2.32,74.65,2.4,171.0,0.87,Organic Soil Conditioner (High Carbon)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",4.03,68.77,1.91,220.8,1.83,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.08,72.94,2.18,195.6,1.22,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.82,81.18,2.05,158.8,0.52,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",4.51,66.14,2.12,231.1,2.22,High Phosphorus & Nitrogen (P-N Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",4.52,85.29,1.59,272.9,0.98,High Nitrogen & Fiber (N-Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",4.48,79.18,1.2,258.2,1.37,High Nitrogen & Fiber (N-Rich)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",1.96,72.83,2.09,156.2,0.79,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.8,74.54,1.61,188.2,1.05,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.94,77.4,2.2,271.4,1.63,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.09,81.58,2.0,248.0,1.11,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",1.11,70.66,1.87,125.5,0.5,High Phosphorus & Nitrogen (P-N Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",1.26,83.49,1.39,138.4,0.33,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.86,78.07,1.87,194.9,0.93,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.64,74.4,1.67,253.5,1.73,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.15,75.15,1.67,201.7,1.15,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.99,73.77,2.29,193.8,1.15,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",1.42,82.44,1.47,144.1,0.39,High Nitrogen & Fiber (N-Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",3.63,86.74,1.7,238.9,0.72,High Nitrogen & Fiber (N-Rich)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",4.29,71.41,2.45,234.9,1.79,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.52,75.27,1.81,179.0,0.92,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.1,76.03,2.07,237.6,1.44,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",4.86,84.82,1.36,285.7,1.09,High Nitrogen & Fiber (N-Rich)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",1.82,66.47,2.31,145.8,0.9,High Phosphorus & Nitrogen (P-N Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",3.09,79.28,1.49,205.6,0.95,High Nitrogen & Fiber (N-Rich)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",2.15,72.63,2.36,162.8,0.87,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.17,79.53,2.21,247.1,1.25,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.31,77.0,2.11,210.2,1.12,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.54,78.19,1.73,220.7,1.14,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.19,72.26,1.8,233.3,1.69,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.58,76.43,2.03,182.7,0.9,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.66,80.5,1.74,268.0,1.33,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",3.13,79.26,1.68,207.0,0.96,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.63,73.08,1.93,145.1,0.66,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.78,77.86,1.98,229.3,1.23,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),4.17,68.86,1.95,225.8,1.89,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.27,73.05,2.01,167.4,0.91,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.43,77.44,1.76,252.5,1.46,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",4.62,72.02,2.46,247.7,1.88,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.11,72.42,1.95,161.1,0.86,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.93,78.89,1.78,274.7,1.52,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.56,75.08,2.03,144.2,0.59,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.81,80.98,2.17,158.2,0.53,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),1.74,73.83,2.56,149.4,0.68,Organic Soil Conditioner (High Carbon)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",4.58,69.01,2.31,239.5,2.06,High Phosphorus & Nitrogen (P-N Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",3.62,82.66,1.29,231.4,0.93,High Nitrogen & Fiber (N-Rich)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",1.61,72.72,2.25,144.0,0.66,High Phosphorus & Nitrogen (P-N Rich)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",2.76,68.94,2.53,179.3,1.26,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.46,72.21,1.82,207.8,1.41,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",1.33,65.63,2.41,129.9,0.69,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.53,79.02,1.83,259.7,1.39,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",4.21,72.43,2.12,234.4,1.69,High Phosphorus & Nitrogen (P-N Rich)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",3.02,73.32,2.16,194.2,1.19,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.87,76.12,2.25,265.8,1.69,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.67,74.51,1.68,183.4,1.01,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.94,77.85,2.28,272.3,1.6,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.67,75.78,1.64,221.4,1.3,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",3.54,68.73,2.2,204.6,1.61,High Phosphorus & Nitrogen (P-N Rich)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",1.66,66.78,2.33,141.2,0.82,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.53,81.98,1.92,266.0,1.2,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.71,75.55,1.88,186.2,0.98,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.65,73.15,2.22,145.8,0.67,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.05,76.15,1.87,126.3,0.39,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.24,78.6,1.91,210.1,1.02,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.11,78.48,1.64,205.0,0.99,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),3.88,76.14,2.75,229.6,1.36,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.56,78.49,2.27,259.7,1.44,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.32,73.51,1.93,134.4,0.53,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",3.93,84.02,1.49,246.2,0.93,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.75,76.01,1.84,151.7,0.63,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),4.43,69.27,2.25,235.3,1.98,Organic Soil Conditioner (High Carbon)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),4.28,69.63,2.56,230.8,1.89,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.16,74.09,1.64,200.4,1.2,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.84,77.52,2.02,230.8,1.27,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.26,80.72,2.0,175.3,0.66,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.88,75.45,2.16,192.3,1.05,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.29,77.4,1.66,247.1,1.42,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",2.84,83.66,1.65,201.8,0.7,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.43,75.96,1.81,176.5,0.87,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.98,73.43,1.71,192.8,1.16,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.31,76.33,2.02,245.9,1.49,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),2.34,68.81,2.75,165.2,1.08,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.7,79.55,2.01,152.6,0.53,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.85,80.28,1.66,236.2,1.12,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.3,76.77,2.04,246.5,1.46,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),1.4,76.29,2.61,139.2,0.51,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.96,74.77,2.26,158.2,0.74,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",1.57,79.24,1.64,147.5,0.5,High Nitrogen & Fiber (N-Rich)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",2.39,75.68,1.94,174.8,0.86,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.8,79.22,1.63,194.4,0.87,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",4.0,82.05,1.46,245.2,1.06,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.6,77.81,2.26,222.5,1.18,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",3.48,84.72,1.44,229.5,0.79,High Nitrogen & Fiber (N-Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",2.41,86.1,1.68,187.5,0.51,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.37,72.22,2.29,239.2,1.77,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.89,72.86,2.17,188.8,1.15,Balanced Organic (High C / Moderate K)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",4.92,68.08,1.91,248.5,2.28,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.54,76.4,2.05,217.6,1.23,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.51,75.81,1.64,142.6,0.55,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.7,77.99,2.23,226.6,1.2,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",2.3,81.83,1.31,178.2,0.63,High Nitrogen & Fiber (N-Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",3.75,82.43,1.22,236.1,0.97,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.28,80.2,2.18,137.1,0.4,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.7,77.88,1.85,151.4,0.57,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.42,80.0,1.99,257.7,1.3,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",1.91,86.26,1.52,166.9,0.41,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.35,79.84,2.02,254.5,1.29,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",2.12,82.14,1.68,171.3,0.57,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.57,77.41,2.02,220.6,1.19,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),3.78,70.2,2.46,215.1,1.64,Organic Soil Conditioner (High Carbon)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.05,77.72,1.73,201.7,1.0,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",2.22,72.6,2.02,165.3,0.9,Balanced Organic (High C / Moderate K)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",1.85,79.64,1.97,158.6,0.57,Balanced Organic (High C / Moderate K)
Pure Carbohydrate / Grain Waste (90%+ Rice/Bread),1.13,70.27,2.5,126.1,0.51,Organic Soil Conditioner (High Carbon)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",2.22,65.88,2.15,157.9,1.11,High Phosphorus & Nitrogen (P-N Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",3.61,73.63,1.73,215.6,1.39,Balanced Organic (High C / Moderate K)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",4.75,80.02,1.39,270.4,1.39,High Nitrogen & Fiber (N-Rich)
"High-Protein / Meat Scraps (40% Meat, 45% Rice, 15% Veg)",4.48,65.56,2.12,229.0,2.24,High Phosphorus & Nitrogen (P-N Rich)
"High-Vegetable / Market Scraps (40% Veg, 40% Rice, 20% Fruit)",4.06,83.12,1.44,250.0,1.01,High Nitrogen & Fiber (N-Rich)
"Standard PH Household Waste (74% Rice, 11% Meat, 10% Veg)",4.15,75.83,2.19,239.1,1.47,Balanced Organic (High C / Moderate K)
